datetime,Vol_lo_bid,Vol_lo_ask,Vol_c_bid,Vol_c_ask,Vol_ex_bid,Vol_ex_ask,date,time
2017-03-13 09:30:00,0.054482807340879895,0.09490221857171316,0.07059687604690854,0.10205740859417689,0.08198940980160381,0.044851895893947384,2017-03-13,09:30:00
2017-03-13 09:35:00,0.0614360439681024,0.09238810273334581,0.07612701180357903,0.10413147974768713,0.0818419772727627,0.06123120941838442,2017-03-13,09:35:00
2017-03-13 09:40:00,0.05295443773656653,0.10694771056459539,0.05682672949781634,0.09965058714149198,0.07507920003819384,0.11435647136165832,2017-03-13,09:40:00
2017-03-13 09:45:00,0.06464663118710874,0.08385369159998379,0.08039963059711079,0.09787907062541061,0.09440396451033617,0.05139319024790149,2017-03-13,09:45:00
2017-03-13 09:50:00,0.0792418540281896,0.07155251912859287,0.09243105493570772,0.07862916918187465,0.11760553855142535,0.05102439067915056,2017-03-13,09:50:00
2017-03-13 09:55:00,0.06095496239066017,0.07822254846458682,0.09291551829622954,0.09742272533018193,0.0452303749191155,0.03794852848498312,2017-03-13,09:55:00
2017-03-13 10:00:00,0.06147212835527421,0.07420005735591537,0.06308572069675107,0.08143429568794827,0.1324541760699183,0.05099897483787481,2017-03-13,10:00:00
2017-03-13 10:05:00,0.04928333907213604,0.08420347625706469,0.049126008316769686,0.09755125876937136,0.07907254966557499,0.07042344652737574,2017-03-13,10:05:00
2017-03-13 10:10:00,0.0637607116654826,0.08472056045752757,0.07442833186138431,0.0975383089612325,0.08655972746537921,0.0501499185842216,2017-03-13,10:10:00
2017-03-13 10:15:00,0.0574055374086699,0.07682492423312204,0.05533925983674615,0.07529228577318964,0.12829900999635468,0.060024476692882765,2017-03-13,10:15:00
2017-03-13 10:20:00,0.0618073644524122,0.07268945782459882,0.06986557975065284,0.06653344640351022,0.10619524050856258,0.052839790907528016,2017-03-13,10:20:00
2017-03-13 10:25:00,0.05814112759837493,0.08151992846987566,0.06628617841271311,0.08199022904442901,0.08105635511695171,0.06865694210648811,2017-03-13,10:25:00
2017-03-13 10:30:00,0.05191341255837103,0.0789340829393388,0.04920339188132196,0.08708824825112053,0.09222835090819183,0.06978241495673118,2017-03-13,10:30:00
2017-03-13 10:35:00,0.05558246316665493,0.07335540094290263,0.04083453007647539,0.08491873326387296,0.14647050532805203,0.05557229491211773,2017-03-13,10:35:00
2017-03-13 10:40:00,0.05763223427815266,0.07739478842109863,0.04586194324155644,0.06464220852457989,0.12347920379480685,0.0651996405591809,2017-03-13,10:40:00
2017-03-13 10:45:00,0.0753069800523933,0.07758288735280022,0.08175424642811001,0.0644084072640716,0.1485171110688153,0.06126312456540178,2017-03-13,10:45:00
2017-03-13 10:50:00,0.06292492864110223,0.08648151643572563,0.06185455917544441,0.0881349384420286,0.14830156145077428,0.08635536315804607,2017-03-13,10:50:00
2017-03-13 10:55:00,0.05292425308406856,0.06451845487937818,0.04468013747784688,0.056241248235271823,0.12411605359680114,0.07755375445839655,2017-03-13,10:55:00
2017-03-13 11:00:00,0.06257863461056601,0.09879207157254336,0.058477915010147805,0.07047674934936016,0.13284292401790346,0.14756168476559867,2017-03-13,11:00:00
